derived_word,origin_w,chapter,deck,meaning,example,viewed,status
deride,Mock,1,1,Express contempt for; ridicule.,Leave it to the intellectuals to deride romance novels.,0,0
gibe,Mock,1,1,an insulting or mocking remark; a taunt,"The Thracian spearmen, who were watching him from the door, began to gibe at his cowardice.",0,0
jeer,Mock,1,1,"Make rude and mocking remarks, typically in a loud voice.", I didn't come here today to jeer: I want to give advice.,0,0
scoff,Mock,1,1,Speak to someone or about something in a scornfully derisive or mocking way.,The tone of the writer is that of person who can but scoff at current fashion.,0,0
sneer,Mock,1,1,"A contemptuous or mocking smile, remark, or tone.","But merely to sneer, and pity the Kids Today that weren't around when the original series was new and shiny.",0,0
taunt,Mock,1,1,"A remark made in order to anger, wound, or provoke someone.",The other children used to taunt him in the playground because he was fat and wore glasses.,0,0
censure,Criticize,1,1,"Express severe disapproval of (someone or something), especially in a formal statement.",The soldier was sent home from boot camp after he received another censure from the general.,0,0
defame,Criticize,1,1,Damage the good reputation of (someone); slander or libel.,"If the board begins swearing at participants, counting down backward or attempting to defame a person's spiritual belief, it is being likely being controlled by a demon.",0,0
demean,Criticize,1,1,Cause a severe loss in the dignity of and respect for (someone or something),"The mother-in-law would demean her, as a way to abase the young wife in the son's eyes.",0,0
denigrate,Criticize,1,1,Criticize unfairly; disparage.,The decision seems to subtly denigrate the American reading public.,0,0
denounce,Criticize,1,1,Publicly declare to be wrong or evil.,"It was tempting to denounce him in front of everyone, but that would be childish.",0,0
denunciate,Criticize,1,1,Publicly declare to be wrong or evil; denounce.,I denunciate this senseless violence.,0,0
deprecate,Criticize,1,1,Express disapproval of.,It is true that some philologists deprecate as unscientific the comparison of myths which are found in languages not connected with each other.,0,0
impugn,Criticize,1,1,"Dispute the truth, validity, or honesty of (a statement or motive); call into question.",The Hickinbotham's winery has done nothing to impugn the reputation of their neighborhood.,0,0
perjure,Criticize,1,1,Wilfully tell an untruth or make a misrepresentation under oath; commit perjury.,The judge warned the witness not to perjure herself.,0,0
vilification,Criticize,1,1,Abusively disparaging speech or writing., Clare did not deserve the vilification she had been subjected to.,0,0
disrepute,Dishonor,1,1,The state of being held in low esteem by the public.,The hotel fell into disrepute after the shooting incident.,0,0
ignominy,Dishonor,1,1,Public shame or disgrace.,"But on the arrival of Licinius Mucianus he was not only obliged to surrender his authority, but was treated with such ignominy that he left Rome.",0,0
infamy,Dishonor,1,1,The state of being well known for some bad quality or deed.,"It wasn't until he faked his own grandmother's death, however, that he shot right up into reality TV villain infamy.",0,0
opprobrium,Dishonor,1,1,Harsh criticism or censure.,The bombing has attracted international opprobrium.,0,0
admonish,Punish,1,1,Reprimand firmly.,You can admonish a selfish man.,0,0
castigate,Punish,1,1,Reprimand (someone) severely.,The principal castigate the student who have insult their teacher.,0,0
chastise,Punish,1,1,Rebuke or reprimand severely.,"He looked up at her, obviously afraid she would further chastise him.",0,0
chide,Punish,1,1,Scold or rebuke.,"He will not chide continually, nor keep his anger still.",0,0
rebuke,Punish,1,1,Express sharp disapproval or criticism of (someone) because of their behaviour or actions.,"It was unfair to punish him, but his rebuke still stung.",0,0
reprimand,Punish,1,1,A formal expression of disapproval.,Did the policeman reprimand the old man?,0,0
reproach,Punish,1,1,Express to (someone) one's disapproval of or disappointment in their actions.,"When you don't live the life, you bring reproach on the truth.",0,0
reprove,Punish,1,1,Reprimand (someone),"The natural day is very calm, and will hardly reprove his indolence.",0,0
scold,Punish,1,1,Remonstrate with or rebuke (someone) angrily.,Don't scold him when he has an accident.,0,0
upbraid,Punish,1,1,Find fault with (someone); scold.,His wife set about upbraiding him for neglecting the children.,0,0
aggravate,Annoy,1,2,"Make (a problem, injury, or offence) worse or more serious.",Famine and sickness had begun to aggravate the situation.,0,0
chafe,Annoy,1,2,to be or become annoyed or lose patience,Some students chafed at the increased security presence.,0,0
exacerbate,Annoy,1,2,"Make (a problem, bad situation, or negative feeling) worse.",I don't want to exacerbate the situation.,0,0
irk,Annoy,1,2,Irritate; annoy.,It irks him to have to clean his house.,0,0
nettle,Annoy,1,2,to make someone annoyed or slightly angry,"She looked up at me sharply, clearly nettled by the interruption.",0,0
peeve,Annoy,1,2,Make (someone) rather annoyed; irritate.,He was peeved because we didn't ask him what he thought about the idea.,0,0
provoke,Annoy,1,2,"Stimulate or give rise to (a reaction or emotion, typically a strong or unwelcome one) in someone.",Had no intention or wish to provoke a great European war.,0,0
vex,Annoy,1,2,"Make (someone) feel annoyed, frustrated, or worried, especially with trivial matters.",But this destruction seems to have been done on purpose to vex us.,0,0
