word,similar
apple,Is that 
apple,apple
apple, pie I smell?
hungry,The stray dog looked 
hungry,hungry
hungry, and cold.
thirsty,Hard work made us 
thirsty,thirsty
thirsty, and hungry as well.
eating,People were 
eating,eating
eating, bowls of soup.
breakfast,Sit down and have 
breakfast,breakfast
breakfast, with us.
dinner,"""We here in Moscow are more occupied with "
dinner,dinner
dinner," parties and scandal than with politics,"" said he in his quiet ironical tone."
lunch,Can you hold 
lunch,lunch
lunch, for a little bit?
chicken,It smelled of 
chicken,chicken
chicken, and rice and something sweet.
butter,There is also an important 
butter,butter
butter, and cheese market.
sugar,I always bring Diablo a 
sugar,sugar
sugar, cube.
rice,ABSENT
biscuits,She started placing 
biscuits,biscuits
biscuits, in the waiting pan.
chocolate,The hot 
chocolate,chocolate
chocolate," did its job, but not until well after five o'clock."
sweets,Sweets
sweets, usually made her thirstier - but it was wet.
eating,People were 
eating,eating
eating, bowls of soup.
second,A 
second,second
second, and a third cannon ball flew past.
clock,An old 
clock,clock
clock, is an antique.
day,It was the middle of the 
day,day
day,", and Alex never took a nap."
minute,For a 
minute,minute
minute," there, I thought I was getting forgetful."
moment,For a 
moment,moment
moment, he studied her face.
hour,We just got back about an 
hour,hour
hour, ago.
past,"They had to move forward, and leave the "
past,past
past, behind them.
year,"He looked to be about 25, but he had a 3-"
year,year-old
year, daughter.
duration,"Once Howie was under, he broke a record for "
duration,duration
duration,; one hour and eighteen minutes.
instant,In an 
instant,instant
instant," he was beside her, trying to take the bale from her hands."
decade,"Then there can be a week, a month, a year, a "
decade,decade
decade,", and a century without war."
noon,"Finally, approaching "
noon,noon
noon,", we crossed over a wide stream."
pause,It also revealed something that gave her 
pause,pause
pause, for thought.
phase,Her life was about to enter its next 
phase,phase
phase, of the nightmare.
century,He was born in Ireland in the eighteenth 
century,century
century,.
children,A house without 
children,children
children, is not a home.
adopted,They had two 
adopted,adopted
adopted, children already.
aunt,We kept in touch with 
aunt,Aunt
aunt, Clara.
cousin,My 
cousin,cousin
cousin, Frank lives in Louisville.
groom,The mother of the 
groom,groom
groom, deserves to look her best.
home,Daddy went 
home,home
home, to sleep.
native,I wanted to put 
native,native
native, wildlife on it.
infant,Martha was alone with an 
infant,infant
infant, and it was after nine o'clock.
marriage,Would he think she was pressuring him into 
marriage,marriage
marriage, now?
orphan,He was left an 
orphan,orphan
orphan," at an early age, his mother dying in 1880 and his father four years later."
parent,What causes a 
parent,parent
parent, to love one child more than another?
relative,ABSENT
sibling,One way of familiarizing a toddler with computer technology without requiring any actual technical skills is to set up Skype or video chat and help him interact with faraway relatives or even a 
sibling,sibling
sibling, in another room.
twins,"It's a little early, but "
twins,twins
twins, tend to have their own schedule.
wedding,Hell of a 
wedding,wedding
wedding, gift.
road,ABSENT
travel,I would like to 
travel,travel
travel, there.
traffic,In town doing 
traffic,traffic
traffic," control, I guess."
truck,The blue 
truck,truck
truck, was nowhere in sight.
signal,"Place your thumb on the pad, and it'll "
signal,signal
signal, me.
cycle,The Alexander 
cycle,cycle
cycle, was no less popular in Great Britain.
passenger,He reached the 
passenger,passenger
passenger, side of the car and held the door open for her.
driver,The 
driver,driver
driver, took them to a Spanish design home a few miles from the hacienda.
railway,ABSENT
train,"""I know you "
train,train
train," with them,"" he stated."
airport,"With everything going on, Carmen didn't have time to worry about flying, but when they were all sitting at the "
airport,airport
airport,", she finally had time to stew over it."
wheel,She gripped the steering 
wheel,wheel
wheel, more tightly.
plane,I'll make a 
plane,plane
plane, reservation.
pilot,"The soldier, who Brady took to be the "
pilot,pilot
pilot," by his uniform, glanced up from his micro."
bike,The 
bike,bike
bike, comes out tomorrow.
comedy,He introduced genuine 
comedy,comedy
comedy, among his countrymen.
cast,Does he 
cast,cast
cast, a shadow?
character,It was totally out of 
character,character
character, for her.
cinema,Present-day 
cinema,cinema
cinema, culture is very much one of popcorn and Coca Cola at the 
cinema,cinema
cinema, complexes in malls.
documentary,There is 
documentary,documentary
documentary, evidence of a castle at Nantwich in the 13th century.
entertaining,"""He is, but he seems to find it "
entertaining,entertaining
entertaining,","" Jessi said."
film,ABSENT
drama,The Romans and Italians had an indigenous 
drama,drama
drama," of their own, known by the name of Satura, which prepared them for the reception of the more regular Greek "
drama,drama
drama,.
scene,The entire 
scene,scene
scene, was surreal.
television,He had been spending too much time with the 
television,television
television, lately.
cameraman,"In 2002, Julia Roberts married "
cameraman,cameraman
cameraman," and cinematographer Daniel Moder, whom she met while filming The Mexican."
