word,similar
articulate,There are two types of tissue: non-
articulate,articulate
articulate, and 
articulate,articulate
articulate,.
 eloquent,He learned to be 
 eloquent,eloquent
 eloquent, on the right occasion in order to be successful.
 expressive,She had the most 
 expressive,expressive
 expressive, face he had ever seen.
 lucid,Lucid
 lucid, explanations have been most helpful to my understanding.
 oratory,The impulse given to 
 oratory,oratory
 oratory," by Cato, Ser."
 pompous,"Another caveat to keep in mind about Sagittarius is that, even though these people are quite intelligent and well spoken, they can sometimes come across as lecturing, arrogant and even "
 pompous,pompous
 pompous,.
 raconteur,"Zaphod Beeblebrox - rover, rake, "
 raconteur,raconteur
 raconteur,", and genial man-about-the universe, and currently the President of the Galaxy."
 rhetoric,The audience was impressed by the 
 rhetoric,rhetoric
 rhetoric, the young girl used in her speech.
 silver-tongued,ABSENT
 stentorian,"But before he had finished reading, a "
 stentorian,stentorian
 stentorian, major-domo announced that dinner was ready!
 turgid,"Cut plants are allowed to wilt, or become flaccid, before removal from the field, to prevent injury to the "
 turgid,turgid
 turgid, leaves.
 verbose,Being 
 verbose,verbose
 verbose, and exaggerating a person's qualities will not help.
bloated,Was it 
bloated,bloated
bloated,", or did he look like he was taking a nap?"
 bombastic,"His most important poem is Wladystaus IV., King of Poland, in which he sings in a very "
 bombastic,bombastic
 bombastic, strain the various expeditions of the Polish monarch.
 declamatory,"He was educated at the seminary of Quebec, where he developed the gift of "
 declamatory,declamatory
 declamatory, and persuasive oratory.
 effusive,Many bright and 
 effusive,effusive
 effusive," colors are appreciated by cutting-edge designers, but these colors and prints may be a little too loud and distracting to be church appropriate."
 florid,"He had much taste and love for music, and considerable gifts as an orator of a "
 florid,florid
 florid, type.
 fustian,"Jacob Bright was educated at the Ackworth school of the Society of Friends, and was apprenticed to a "
 fustian,fustian
 fustian, manufacturer at New Mills.
 garrulous,"Geminis, Leos, Sagittarians and Aquarians tend to be progressive, "
 garrulous,garrulous
 garrulous,", and enjoy the finer things in life."
 grandiloquent,Aldhelm wrote in elaborate and 
 grandiloquent,grandiloquent
 grandiloquent," Latin, which soon came to be regarded as barbarous."
 grandiose,Spencer's 
 grandiose,grandiose
 grandiose, cosmic formula in terms of mechanism.
 loquacious,Certainly startup founders' personalities vary widely-some are outgoing and 
 loquacious,loquacious
 loquacious,", others are introverted and reticent."
 magniloquent,ABSENT
 orotund,ABSENT
 pretentious,The buildings erected by Abdur Rahman were 
 pretentious,pretentious
 pretentious,", but unmarked by any originality in design and hardly worthy representation of the beauty and dignity of Mahommedan architecture."
 rhetorical,She ignored his 
 rhetorical,rhetorical
 rhetorical, questions.
circumlocution,"His prose writings gained great reputation in their own day, and long afterwards, but are disfigured by apparent straining after effect, and by frequent puerility and "
circumlocution,circumlocution
circumlocution,.
 long-winded,They can be 
 long-winded,long-winded
 long-winded, and tedious when listening to someone ramble on before they briefly encounter a point that they want to make.
 prolix,His speeches were apt to be 
 prolix,prolix
 prolix,", and he defended their "
 prolix,prolixity
 prolix, on principle (i.
 superfluous,Emigration affords a natural outlet for the 
 superfluous,superfluous
 superfluous, labour force of a country.
concise,His arguments were 
concise,concise
concise,", simple, and clear."
 curt,"At first wind of the alleged sex tape, Tiger's team of lawyers issued "
